episode,timestep,reward
51200,2560000,-211.3127
51400,2570000,-211.3203
51600,2580000,-211.3251
51800,2590000,-211.3118
52000,2600000,-211.3166
52200,2610000,-211.3134
52400,2620000,-211.3184
52600,2630000,-211.3013
52800,2640000,-211.3008
53000,2650000,-211.3082
53200,2660000,-211.3079
53400,2670000,-211.3034
53600,2680000,-211.3051
53800,2690000,-211.2862
54000,2700000,-211.292
54200,2710000,-211.3119
54400,2720000,-211.303
54600,2730000,-211.2942
54800,2740000,-211.3011
55000,2750000,-211.3029
55200,2760000,-211.296
55400,2770000,-211.2898
55600,2780000,-211.2918
55800,2790000,-211.3056
56000,2800000,-211.3125
56200,2810000,-211.3019
56400,2820000,-211.2953
56600,2830000,-211.2819
56800,2840000,-211.2892
57000,2850000,-211.2957
57200,2860000,-211.2854
57400,2870000,-211.2931
57600,2880000,-211.2893
57800,2890000,-211.2929
58000,2900000,-211.3149
58200,2910000,-211.2994
58400,2920000,-211.2883
58600,2930000,-211.2909
58800,2940000,-211.2829
59000,2950000,-211.2816
59200,2960000,-211.2729
59400,2970000,-211.272
59600,2980000,-211.2825
59800,2990000,-211.2923
60000,3000000,-211.2685
60200,3010000,-211.2801
60400,3020000,-211.2742
60600,3030000,-211.289
60800,3040000,-211.2909
61000,3050000,-211.2862
61200,3060000,-211.2896
61400,3070000,-211.2994
61600,3080000,-211.2807
61800,3090000,-211.291
62000,3100000,-211.2885
62200,3110000,-211.2778
62400,3120000,-211.2435
62600,3130000,-211.2488
62800,3140000,-211.2477
63000,3150000,-211.2505
63200,3160000,-211.2572
63400,3170000,-211.2567
63600,3180000,-211.2557
63800,3190000,-211.2411
64000,3200000,-211.229
64200,3210000,-211.2166
64400,3220000,-211.2097
64600,3230000,-211.1992
64800,3240000,-211.1993
65000,3250000,-211.189
65200,3260000,-211.1936
65400,3270000,-211.1908
65600,3280000,-211.1849
65800,3290000,-211.1957
66000,3300000,-211.2049
66200,3310000,-211.2041
66400,3320000,-211.2105
66600,3330000,-211.1998
66800,3340000,-211.2102
67000,3350000,-211.2048
67200,3360000,-211.1914
67400,3370000,-211.1906
67600,3380000,-211.188
67800,3390000,-211.2066
68000,3400000,-211.2178
68200,3410000,-211.2239
68400,3420000,-211.1978
68600,3430000,-211.2049
68800,3440000,-211.2069
69000,3450000,-211.1993
69200,3460000,-211.1966
69400,3470000,-211.191
69600,3480000,-211.1905
69800,3490000,-211.1842
70000,3500000,-211.1773
70200,3510000,-211.1908
70400,3520000,-211.1976
70600,3530000,-211.1983
70800,3540000,-211.1848
71000,3550000,-211.1859
71200,3560000,-211.1786
71400,3570000,-211.1765
71600,3580000,-211.1813
71800,3590000,-211.1758
72000,3600000,-211.1865
72200,3610000,-211.1728
72400,3620000,-211.1571
72600,3630000,-211.1599
72800,3640000,-211.1523
73000,3650000,-211.1566
73200,3660000,-211.1597
73400,3670000,-211.1567
73600,3680000,-211.1584
73800,3690000,-211.1671
74000,3700000,-211.1661
74200,3710000,-211.1644
74400,3720000,-211.1643
74600,3730000,-211.1581
74800,3740000,-211.1728
75000,3750000,-211.1883
75200,3760000,-211.1757
75400,3770000,-211.183
75600,3780000,-211.1949
