episode,timestep,reward
587,29400,-243.2685
589,29500,-238.242
591,29600,-249.8985
593,29700,-226.6564
595,29800,-243.2782
597,29900,-235.3542
599,30000,-249.9998
601,30100,-233.438
603,30200,-250.0
605,30300,-235.3476
607,30400,-231.6496
609,30500,-249.9992
611,30600,-243.5843
613,30700,-241.0262
615,30800,-235.9796
617,30900,-234.5177
619,31000,-250.0
621,31100,-249.9993
623,31200,-249.9984
625,31300,-250.0
627,31400,-244.5717
629,31500,-243.5308
631,31600,-226.9471
633,31700,-249.9998
635,31800,-220.717
637,31900,-243.0448
639,32000,-249.9999
641,32100,-242.3504
643,32200,-226.2927
645,32300,-241.3417
647,32400,-245.0654
649,32500,-241.3284
651,32600,-240.9818
653,32700,-245.4355
655,32800,-249.9994
657,32900,-239.7695
659,33000,-249.995
661,33100,-244.1035
663,33200,-240.063
665,33300,-250.0
667,33400,-249.9989
669,33500,-249.9999
671,33600,-249.9999
673,33700,-235.0712
675,33800,-230.607
677,33900,-249.8732
679,34000,-249.9655
681,34100,-239.7866
683,34200,-230.8333
685,34300,-249.9954
687,34400,-249.9999
689,34500,-233.0829
691,34600,-249.9085
693,34700,-250.0
695,34800,-249.9646
697,34900,-249.9999
699,35000,-250.0
701,35100,-249.9999
703,35200,-249.9953
705,35300,-244.578
707,35400,-249.9998
709,35500,-249.9984
711,35600,-249.9994
713,35700,-228.6497
715,35800,-233.3478
717,35900,-249.9997
719,36000,-250.0
721,36100,-249.9994
723,36200,-233.0397
725,36300,-243.2456
727,36400,-249.9957
729,36500,-249.9999
731,36600,-242.5102
733,36700,-241.9527
735,36800,-239.7301
737,36900,-249.8015
739,37000,-250.0
741,37100,-229.0096
743,37200,-249.9999
745,37300,-240.3363
747,37400,-242.5181
749,37500,-249.9999
751,37600,-249.935
753,37700,-239.881
755,37800,-249.9998
757,37900,-242.06
759,38000,-225.7767
761,38100,-230.3035
763,38200,-250.0
765,38300,-250.0
767,38400,-229.9037
769,38500,-249.9994
771,38600,-236.2645
773,38700,-249.9999
775,38800,-249.9994
777,38900,-249.9883
779,39000,-235.0602
781,39100,-243.6544
783,39200,-242.1707
785,39300,-249.978
787,39400,-234.0489
789,39500,-239.214
791,39600,-249.9652
793,39700,-249.9132
795,39800,-249.9822
797,39900,-249.956
799,40000,-249.9867
801,40100,-241.9525
803,40200,-249.9993
805,40300,-249.994
807,40400,-249.982
809,40500,-232.818
811,40600,-240.4457
813,40700,-246.3065
815,40800,-249.9673
817,40900,-249.9991
819,41000,-250.0
821,41100,-250.0
823,41200,-225.3668
825,41300,-249.9977
827,41400,-232.3113
829,41500,-249.9999
831,41600,-239.5838
833,41700,-250.0
835,41800,-250.0
837,41900,-237.4651
839,42000,-249.9574
841,42100,-249.9694
843,42200,-249.9132
845,42300,-250.0
847,42400,-249.6831
849,42500,-249.6257
851,42600,-249.969
853,42700,-237.7212
855,42800,-249.969
857,42900,-249.9155
859,43000,-249.9166
861,43100,-249.3612
863,43200,-249.7709
865,43300,-249.9998
867,43400,-249.9166
869,43500,-249.9084
871,43600,-250.0
873,43700,-250.0
875,43800,-233.2967
877,43900,-249.9875
879,44000,-249.9998
881,44100,-249.6773
883,44200,-249.9565
885,44300,-249.9116
887,44400,-249.9985
889,44500,-239.4902
891,44600,-240.0558
893,44700,-243.8279
895,44800,-249.7635
897,44900,-239.7329
899,45000,-250.0
901,45100,-233.1619
903,45200,-238.9225
905,45300,-249.9989
907,45400,-249.9983
909,45500,-249.9873
911,45600,-249.9999
913,45700,-249.9998
915,45800,-240.2102
917,45900,-237.2139
919,46000,-249.9998
921,46100,-236.1396
923,46200,-249.9999
925,46300,-249.9984
927,46400,-240.9201
929,46500,-249.9887
931,46600,-249.6525
933,46700,-238.9824
935,46800,-249.988
937,46900,-240.0179
939,47000,-241.4903
941,47100,-249.9141
943,47200,-250.0
945,47300,-243.3346
947,47400,-243.6397
949,47500,-249.1489
951,47600,-249.9999
953,47700,-249.9998
955,47800,-243.3811
957,47900,-249.8103
959,48000,-249.5265
961,48100,-249.9998
963,48200,-249.9728
965,48300,-249.9593
967,48400,-249.9604
969,48500,-230.095
971,48600,-228.4146
973,48700,-249.9874
975,48800,-224.8192
977,48900,-250.0
979,49000,-231.0305
981,49100,-211.4093
983,49200,-249.9677
985,49300,-249.5534
987,49400,-249.9994
989,49500,-230.7604
991,49600,-249.8916
993,49700,-249.9912
995,49800,-244.3442
997,49900,-243.8196
999,50000,-249.9994
1001,50100,-242.778
1003,50200,-250.0
1005,50300,-249.9994
1007,50400,-249.9037
1009,50500,-249.9917
1011,50600,-249.9151
1013,50700,-249.9994
1015,50800,-249.9692
1017,50900,-249.9882
1019,51000,-249.9999
1021,51100,-250.0
1023,51200,-249.9999
1025,51300,-249.9985
1027,51400,-249.9959
1029,51500,-249.9953
1031,51600,-249.9984
1033,51700,-249.9998
1035,51800,-249.957
1037,51900,-248.2214
1039,52000,-249.9983
1041,52100,-249.9985
1043,52200,-249.9155
1045,52300,-249.9575
1047,52400,-241.504
1049,52500,-249.9957
1051,52600,-249.9885
1053,52700,-238.4631
1055,52800,-244.0208
1057,52900,-249.9958
1059,53000,-249.9862
1061,53100,-249.9658
1063,53200,-241.0114
1065,53300,-249.9999
1067,53400,-249.7016
1069,53500,-250.0
1071,53600,-249.9887
1073,53700,-249.9994
1075,53800,-250.0
1077,53900,-249.9982
1079,54000,-240.391
1081,54100,-226.7451
1083,54200,-238.1433
1085,54300,-249.8687
1087,54400,-233.9597
1089,54500,-249.9998
1091,54600,-244.4144
1093,54700,-249.9879
1095,54800,-250.0
1097,54900,-249.9878
1099,55000,-250.0
1101,55100,-249.9523
1103,55200,-249.9881
1105,55300,-249.9046
1107,55400,-249.7905
1109,55500,-238.559
1111,55600,-240.2577
1113,55700,-249.1697
1115,55800,-245.3562
1117,55900,-238.5531
1119,56000,-249.9998
1121,56100,-243.8315
1123,56200,-239.8859
1125,56300,-239.0717
1127,56400,-249.4591
1129,56500,-249.9998
1131,56600,-249.8826
1133,56700,-249.9685
1135,56800,-250.0
1137,56900,-243.0471
1139,57000,-250.0
1141,57100,-250.0
1143,57200,-238.1457
1145,57300,-249.9887
1147,57400,-236.5579
1149,57500,-249.9999
1151,57600,-249.9887
1153,57700,-250.0
1155,57800,-249.9985
1157,57900,-249.9985
1159,58000,-249.9958
1161,58100,-227.6363
1163,58200,-249.7365
1165,58300,-241.354
1167,58400,-238.739
1169,58500,-249.9689
1171,58600,-249.9953
1173,58700,-241.1085
1175,58800,-249.9997
1177,58900,-249.9887
1179,59000,-249.9958
1181,59100,-249.9689
