episode,timestep,reward
5439,272000,-205.1756
5459,273000,-249.6839
5479,274000,-219.3424
5499,275000,-224.4366
5519,276000,-212.3099
5539,277000,-233.4715
5559,278000,-222.0829
5579,279000,-207.3909
5599,280000,-215.3266
5619,281000,-227.018
